                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0937,                 1.5217,                 1.0755,                0.19828,                 0.2026,                0.16052,                0.10968,                  1.126,                 1.8446,                 1.1313,               0.006733,               0.006733,               0.006733
                     35,                 1.0792,                 1.5179,                 1.0673,                  0.247,                0.20938,                0.18559,                0.13088,                 1.1172,                 1.8681,                 1.1389,               0.006634,               0.006634,               0.006634
                     36,                 1.0886,                 1.5134,                 1.0684,                0.16369,                0.18435,                0.12667,                0.08798,                 1.1673,                 2.0214,                 1.1778,               0.006535,               0.006535,               0.006535
                     37,                  1.035,                 1.4364,                 1.0471,                0.36144,                0.21234,                0.15793,                0.11514,                 1.1108,                  1.808,                  1.131,               0.006436,               0.006436,               0.006436
                     38,                  1.083,                 1.4778,                 1.0615,                0.32883,                0.23942,                0.16046,                0.10972,                 1.1459,                 1.8891,                 1.1398,               0.006337,               0.006337,               0.006337
                     39,                  1.061,                 1.4352,                 1.0457,                0.40568,                0.18181,                0.17782,                 0.1284,                 1.1558,                  1.937,                 1.1659,               0.006238,               0.006238,               0.006238
                     40,                 1.0477,                 1.4137,                 1.0525,                0.31131,                0.19464,                0.14952,                0.10239,                 1.1558,                 1.9634,                 1.1768,               0.006139,               0.006139,               0.006139
                     41,                 1.0425,                   1.38,                 1.0412,                0.31386,                0.22277,                0.14403,                0.09939,                 1.1011,                 1.9203,                 1.1232,                0.00604,                0.00604,                0.00604
                     42,                 1.0562,                 1.4031,                 1.0405,                0.36789,                0.18853,                0.15438,                 0.1079,                 1.1214,                 1.9263,                  1.151,               0.005941,               0.005941,               0.005941
                     43,                 1.0416,                 1.3529,                 1.0463,                 0.3574,                0.21827,                0.16754,                0.11973,                 1.1418,                 1.9211,                 1.1462,               0.005842,               0.005842,               0.005842
                     44,                 1.0322,                 1.3644,                 1.0397,                0.36567,                0.21441,                0.16123,                 0.1096,                 1.1246,                  1.962,                 1.1377,               0.005743,               0.005743,               0.005743
                     45,                 1.0338,                 1.3071,                 1.0464,                0.37548,                0.22103,                0.19064,                0.13369,                 1.1709,                 1.9277,                 1.1803,               0.005644,               0.005644,               0.005644
                     46,                 1.0296,                 1.3306,                 1.0427,                0.42491,                0.20382,                0.16454,                0.10384,                 1.1514,                 1.9677,                 1.1474,               0.005545,               0.005545,               0.005545
                     47,                 1.0338,                   1.32,                 1.0386,                0.33119,                0.25122,                0.15863,                0.10827,                 1.1014,                 1.8991,                 1.1317,               0.005446,               0.005446,               0.005446
                     48,                 1.0138,                 1.2773,                 1.0282,                 0.3738,                0.23393,                0.18882,                0.13245,                 1.1031,                 1.8796,                 1.1465,               0.005347,               0.005347,               0.005347
                     49,                 1.0018,                 1.2316,                 1.0366,                0.36034,                0.23347,                0.15928,                 0.1125,                 1.1221,                 2.0077,                 1.1475,               0.005248,               0.005248,               0.005248
                     50,                 1.0199,                 1.2794,                 1.0334,                0.38675,                0.20177,                0.16506,                0.11311,                 1.1342,                 1.9757,                 1.1405,               0.005149,               0.005149,               0.005149
