                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0905,                 1.5294,                 1.0752,                0.33318,                0.22458,                0.14968,                0.10209,                 1.1345,                 1.8829,                 1.1525,               0.006733,               0.006733,               0.006733
                     35,                  1.083,                  1.524,                 1.0743,                0.19658,                0.22623,                0.17718,                0.12015,                 1.1239,                 1.8796,                 1.1432,               0.006634,               0.006634,               0.006634
                     36,                 1.0743,                 1.5178,                 1.0679,                0.38209,                0.23213,                0.18719,                0.12401,                  1.143,                 1.8681,                 1.1533,               0.006535,               0.006535,               0.006535
                     37,                 1.0342,                 1.4328,                 1.0489,                0.39096,                0.22036,                0.17049,                0.11897,                 1.0946,                 1.8028,                 1.1343,               0.006436,               0.006436,               0.006436
                     38,                 1.0742,                  1.482,                  1.054,                0.33446,                0.27068,                0.16653,                0.11262,                 1.1967,                 1.8485,                  1.175,               0.006337,               0.006337,               0.006337
                     39,                 1.0696,                 1.4541,                 1.0485,                0.35953,                0.23289,                0.14761,                0.10165,                 1.1443,                 1.9984,                 1.1605,               0.006238,               0.006238,               0.006238
                     40,                 1.0556,                 1.4169,                 1.0588,                0.31648,                0.23652,                 0.1596,                0.11546,                 1.1035,                 1.8432,                 1.1401,               0.006139,               0.006139,               0.006139
                     41,                 1.0496,                 1.3796,                 1.0474,                0.37007,                0.23792,                0.16998,                0.11708,                 1.1496,                 1.9097,                 1.1599,                0.00604,                0.00604,                0.00604
                     42,                 1.0654,                 1.4131,                 1.0488,                0.37559,                0.19593,                 0.1712,                0.11543,                 1.1222,                 1.9129,                 1.1592,               0.005941,               0.005941,               0.005941
                     43,                 1.0343,                 1.3523,                  1.042,                0.41578,                0.24011,                0.17745,                0.12016,                 1.1377,                 1.8969,                 1.1361,               0.005842,               0.005842,               0.005842
                     44,                 1.0281,                 1.3386,                 1.0428,                0.35155,                0.22409,                0.16446,                 0.1162,                 1.1463,                 1.9337,                 1.1565,               0.005743,               0.005743,               0.005743
                     45,                 1.0363,                 1.3122,                 1.0492,                0.34339,                0.22821,                0.15868,                0.10941,                 1.1749,                 1.9501,                 1.1669,               0.005644,               0.005644,               0.005644
                     46,                 1.0267,                  1.332,                  1.043,                0.37502,                0.20034,                0.15586,                0.10346,                 1.1557,                 2.0019,                 1.1607,               0.005545,               0.005545,               0.005545
                     47,                 1.0225,                 1.3137,                  1.036,                0.39388,                0.25495,                0.17774,                0.12548,                 1.1442,                 1.9234,                 1.1514,               0.005446,               0.005446,               0.005446
                     48,                 1.0127,                 1.2867,                 1.0281,                0.35723,                0.20115,                0.18134,                0.13086,                 1.0839,                 1.8467,                 1.1405,               0.005347,               0.005347,               0.005347
                     49,                 1.0057,                 1.2378,                 1.0406,                 0.3097,                 0.2418,                0.16073,                0.11091,                 1.0722,                 1.8851,                 1.1122,               0.005248,               0.005248,               0.005248
                     50,                 1.0189,                 1.2765,                 1.0306,                0.33393,                0.26553,                0.15719,                0.11166,                 1.1346,                 1.9135,                 1.1302,               0.005149,               0.005149,               0.005149
                     51,                 1.0018,                 1.2375,                 1.0266,                0.36073,                0.28513,                0.18762,                0.12323,                 1.1361,                 1.8425,                 1.1834,                0.00505,                0.00505,                0.00505
                     52,                 1.0066,                 1.2475,                 1.0203,                0.39803,                0.22265,                0.16936,                0.12111,                 1.1499,                 1.8781,                 1.1808,               0.004951,               0.004951,               0.004951
                     53,                0.97818,                 1.1775,                 1.0093,                0.35393,                0.23798,                0.15646,                0.10751,                 1.1143,                 1.9669,                 1.1307,               0.004852,               0.004852,               0.004852
                     54,                0.95848,                 1.1627,                 1.0029,                0.38352,                0.22568,                0.17896,                0.12893,                 1.0954,                 1.8774,                 1.1267,               0.004753,               0.004753,               0.004753
                     55,                 0.9578,                 1.1609,                 1.0096,                0.37196,                0.22709,                 0.1766,                0.12256,                  1.092,                 1.8832,                 1.1336,               0.004654,               0.004654,               0.004654
                     56,                 0.9818,                 1.1691,                  1.025,                 0.4322,                0.18657,                0.15997,                0.11381,                 1.0856,                 1.8842,                 1.1351,               0.004555,               0.004555,               0.004555
                     57,                0.95856,                 1.1542,                 1.0126,                 0.3847,                0.23937,                0.19186,                0.13895,                 1.0843,                 1.8718,                 1.1251,               0.004456,               0.004456,               0.004456
                     58,                 0.9625,                 1.1317,                 1.0076,                0.33482,                0.25935,                0.16597,                0.11302,                 1.0903,                 1.9116,                 1.1183,               0.004357,               0.004357,               0.004357
                     59,                0.95472,                 1.1152,                 1.0024,                0.41932,                0.18576,                0.15864,                0.11105,                 1.1178,                 1.9501,                 1.1423,               0.004258,               0.004258,               0.004258
                     60,                  0.953,                 1.1028,                0.99885,                 0.3912,                0.23012,                0.16546,                0.11519,                 1.1346,                 1.9572,                 1.1546,               0.004159,               0.004159,               0.004159
                     61,                0.95241,                 1.0791,                 1.0062,                0.34622,                0.25698,                0.15928,                 0.1133,                 1.1105,                 1.9831,                 1.1391,                0.00406,                0.00406,                0.00406
                     62,                0.95116,                 1.1102,                 1.0064,                0.39756,                0.22478,                0.17575,                0.11988,                 1.1158,                 1.9916,                 1.1417,               0.003961,               0.003961,               0.003961
                     63,                0.92684,                 1.0619,                0.98975,                0.34774,                0.23233,                0.15384,                  0.107,                 1.0751,                 2.0815,                 1.1364,               0.003862,               0.003862,               0.003862
                     64,                0.94304,                 1.0882,                0.99383,                0.34901,                0.20566,                0.16136,                0.10771,                 1.1171,                  1.846,                 1.1407,               0.003763,               0.003763,               0.003763
                     65,                0.93393,                 1.0554,                0.99425,                0.36085,                0.23915,                0.15363,                0.11106,                 1.0985,                 1.9847,                 1.1156,               0.003664,               0.003664,               0.003664
                     66,                 0.9291,                 1.0337,                0.99141,                0.37722,                0.25005,                 0.1654,                0.11478,                 1.0975,                 1.9548,                 1.1476,               0.003565,               0.003565,               0.003565
                     67,                0.91506,                 1.0169,                0.98874,                0.33609,                0.20384,                0.14544,                0.09965,                 1.1084,                 1.9923,                 1.1484,               0.003466,               0.003466,               0.003466
                     68,                0.91778,                 1.0232,                 0.9828,                0.34565,                0.24602,                0.15079,                0.10219,                 1.1281,                 1.9593,                 1.1555,               0.003367,               0.003367,               0.003367
                     69,                0.90797,                0.99551,                  0.993,                0.42882,                0.25017,                0.17911,                0.12382,                 1.1201,                 1.9258,                 1.1721,               0.003268,               0.003268,               0.003268
                     70,                0.91124,                0.98445,                0.98448,                 0.4097,                0.21975,                0.15832,                0.11116,                 1.1293,                 1.8801,                 1.1552,               0.003169,               0.003169,               0.003169
                     71,                0.91163,                0.98731,                0.98378,                0.45206,                0.16956,                0.16346,                 0.1158,                 1.1024,                 1.8892,                 1.1342,                0.00307,                0.00307,                0.00307
                     72,                0.88112,                0.96057,                0.97529,                0.41554,                0.25322,                0.18321,                0.12725,                 1.1224,                 1.8908,                 1.1619,               0.002971,               0.002971,               0.002971
                     73,                0.87424,                0.93412,                0.98077,                0.33018,                0.25164,                0.15946,                 0.1131,                 1.0829,                 1.8978,                  1.132,               0.002872,               0.002872,               0.002872
                     74,                0.87929,                0.95366,                0.97336,                0.36922,                0.24124,                0.17124,                0.12111,                 1.0828,                  1.932,                  1.122,               0.002773,               0.002773,               0.002773
                     75,                0.87749,                0.94822,                 0.9748,                0.45593,                0.17332,                0.17474,                0.12657,                 1.0916,                 1.9933,                 1.1213,               0.002674,               0.002674,               0.002674
                     76,                0.88337,                0.94259,                0.97767,                0.35862,                0.24062,                0.16676,                0.11589,                 1.0991,                 1.9276,                 1.1325,               0.002575,               0.002575,               0.002575
                     77,                 0.8869,                0.92535,                0.96867,                0.39828,                0.24485,                 0.1702,                0.12057,                 1.0989,                 1.9191,                 1.1314,               0.002476,               0.002476,               0.002476
                     78,                0.86835,                0.93668,                0.97541,                0.38148,                0.21309,                  0.173,                0.12327,                 1.1008,                 1.9937,                 1.1314,               0.002377,               0.002377,               0.002377
                     79,                0.85513,                0.89423,                0.97232,                0.45823,                 0.2161,                0.18322,                0.12352,                   1.12,                 1.9161,                   1.15,               0.002278,               0.002278,               0.002278
